date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:57:33	467767/467767	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Dec%202019%2010:38:26%20GMT	https://theme-land.com/sApp/demo/assets/img/avatar/avatar-2.png	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/assets/img/avatar/avatar-2.png	(from https://theme-land.com/sApp/demo/index-2.html)
11:57:34	37482/37482	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Jan%202020%2014:42:44%20GMT	https://theme-land.com/sApp/demo/assets/img/pricing/basic.png	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/assets/img/pricing/basic.png	(from https://theme-land.com/sApp/demo/index-2.html)
11:57:35	33363/33363	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Jan%202020%2014:45:32%20GMT	https://theme-land.com/sApp/demo/assets/img/pricing/premium.png	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/assets/img/pricing/premium.png	(from https://theme-land.com/sApp/demo/index-2.html)
11:57:36	5314/5314	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Dec%202019%2011:13:32%20GMT	https://theme-land.com/sApp/demo/assets/img/icon/google-play.png	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/assets/img/icon/google-play.png	(from https://theme-land.com/sApp/demo/index-2.html)
11:57:37	5336/5336	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Dec%202019%2011:13:22%20GMT	https://theme-land.com/sApp/demo/assets/img/icon/app-store.png	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/assets/img/icon/app-store.png	(from https://theme-land.com/sApp/demo/index-2.html)
11:57:38	6717/6717	---M--	200	added ('OK')	image/png	date:Sun,%2022%20Dec%202019%2005:49:00%20GMT	https://theme-land.com/sApp/demo/assets/img/icon/google-play-black.png	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/assets/img/icon/google-play-black.png	(from https://theme-land.com/sApp/demo/index-2.html)
11:57:39	7135/7135	---M--	200	added ('OK')	image/png	date:Sun,%2022%20Dec%202019%2005:49:00%20GMT	https://theme-land.com/sApp/demo/assets/img/icon/app-store-black.png	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/assets/img/icon/app-store-black.png	(from https://theme-land.com/sApp/demo/index-2.html)
11:57:40	86927/86927	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2024%20Jul%202018%2008:49:10%20GMT	https://theme-land.com/sApp/demo/assets/js/jquery/jquery-3.3.1.min.js	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/assets/js/jquery/jquery-3.3.1.min.js	(from https://theme-land.com/sApp/demo/index-2.html)
11:57:41	21004/21004	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2026%20Jul%202019%2012:53:14%20GMT	https://theme-land.com/sApp/demo/assets/js/bootstrap/popper.min.js	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/assets/js/bootstrap/popper.min.js	(from https://theme-land.com/sApp/demo/index-2.html)
11:57:42	58072/58072	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Feb%202019%2014:47:50%20GMT	https://theme-land.com/sApp/demo/assets/js/bootstrap/bootstrap.min.js	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/assets/js/bootstrap/bootstrap.min.js	(from https://theme-land.com/sApp/demo/index-2.html)
